click_count,session_duration,pages_visited,time_on_page,click_rate,device_id_frequency,ip_address_frequency,user_agent_score,geographic_anomaly,time_anomaly,click_pattern_score,browser_consistency,device_consistency,referrer_credibility,ad_position_clicks,conversion_likelihood,historical_behavior_score,velocity_score,bot_probability,engagement_score,is_fraud,device_type,browser,country
23,629.0656858618346,80,287.70453387713894,0.49334741383387676,195,43,0.3865847899449309,0.6895154747479486,0.5998254307999291,0.6945544772134491,0.4569896509699151,0.4363724934699763,0.15047566067735405,62,0.4934590718664823,0.2296471979191593,0.8409892376937816,0.7895093378022022,0.36668351538963806,0,Desktop,Chrome,France
37,460.69476971254517,48,218.698073792918,0.41293391261551143,120,54,0.6608701349529885,0.29753666241010274,0.3457505508516441,0.4454177589939422,0.5747455582163535,0.5881341305408605,0.45702403192204744,13,0.4100785650907513,0.8100187777203756,0.284136145423101,0.3539155209311091,0.5487899925568457,0,Tablet,Chrome,USA
49,47.16426987224408,14,60.04985022836707,0.6215851663127698,570,22,0.6075361924265839,0.3141467456515725,0.6070783305806849,0.3936662697950058,0.33106103117824365,0.4222466950691746,0.6090693660100125,88,0.5930735801945554,0.6138273129321566,0.12632950866997408,0.7570841016558046,0.4497065911861992,1,Mobile,Chrome,UK
54,854.5120803299867,51,75.76091138812018,0.5960724281894585,140,5,0.4314419842949048,0.31328324811597646,0.6314136680198662,0.402165646865701,0.6081147416494219,0.47323879460213314,0.33514274749835304,96,0.511507300103574,0.77930313261294,0.5348768398730375,0.4202740404451887,0.467580789651632,0,Mobile,Firefox,France
7,250.41421644051414,2,79.19386668090057,0.39041573580339056,488,17,0.4954408091728887,0.340093653318824,0.19151789289279028,0.6811385291249549,0.6867813870490999,0.4443961107456493,0.44482324174212995,26,0.8064640267398245,0.5775051224347317,0.5212934602021694,0.3146565701375914,0.5102328895120689,0,Desktop,Chrome,Canada
25,617.287152618167,5,0.031228165240750894,0.6574928148301382,125,4,0.439151078883597,0.4816893983684079,0.5884349559480764,0.69678173782973,0.580420992843827,0.42581344211259914,0.5827084396119576,56,0.6958253983263165,0.5924664114196905,0.3616294121520012,0.4640502587367484,0.40922667898979603,0,Desktop,Edge,France
16,443.0294936258608,10,134.40820280234186,0.6198555751713613,163,27,0.39865407468547404,0.4796056408778755,0.5442205046720675,0.45079303752930233,0.6261420421703014,0.5810000537010903,0.374097459794926,0,0.3973392107932182,0.5654002073170598,0.4763330660590027,0.7697012843683763,0.42231935643373425,0,Desktop,Chrome,Brazil
26,795.9665525745587,0,70.9235088693493,0.630652779773652,166,36,0.37553334608105854,0.4930245187162399,0.6874646064962171,0.5860256776839815,0.5145282596715393,0.4088743277146189,0.6533179009386642,38,0.6565158083051214,0.5416908166481647,0.45286185353271713,0.5161746090951093,0.46903576357674337,0,Mobile,Firefox,USA
21,682.6908355288251,7,261.76192680557807,0.4066863533942235,280,7,0.34289821989729785,0.4449298239000636,0.35457089407011516,0.5816911596632888,0.5223082177294596,0.27185667735693286,0.6082355841184139,19,0.5687149169945609,0.5482125523435325,0.67431038371863,0.46589928819164156,0.5086556331721896,0,Mobile,Safari,France
10,235.08294585008457,0,36.79611603465185,0.5752180904713667,39,77,0.3680053785238832,0.4526833203471128,0.4966484055485171,0.6910683961581905,0.5598018033325621,0.3647885433800918,0.5979044816859078,26,0.6847925352887628,0.494859701423839,0.4711330115033267,0.35192591220278086,0.6348187417539907,0,Mobile,Safari,USA
13,158.8430559783439,18,127.59876390169833,0.4324814376592084,72,70,0.5992156494207875,0.6550483609652532,0.5959666840946163,0.24685863400696062,0.5361694068395408,0.3567637561061579,0.3086834095888773,14,0.46556651237515545,0.6205179202758223,0.5021590545890615,0.45563952510139166,0.45962712277661716,1,Desktop,Edge,UK
35,1358.2912713825938,67,109.24447221632091,0.515101328260051,679,43,0.5086050674522269,0.7136187667312862,0.5066167765041458,0.39068210951685084,0.40563568497062313,0.6720114945535289,0.38797800626190254,23,0.8066750139645701,0.32158704629950663,0.597990706342386,0.3623445577058897,0.5723657914889037,0,Tablet,Safari,USA
30,69.15767609069108,20,189.15339307790276,0.6842285409772634,193,2,0.40242283308075816,0.669001054137818,0.4757458223009812,0.6554477686588517,0.7454318845498334,0.5949027390083478,0.32690663581004376,4,0.6282604536444828,0.6392163519840359,0.4209290775609284,0.5266386703712322,0.45959091443125666,0,Mobile,Edge,USA
23,292.3005856234027,20,49.756901911449575,0.5838844893533993,348,45,0.4344760765717613,0.29850368371732233,0.5153032022657726,0.6402240667145616,0.5408310404734125,0.6004766168625694,0.5096072807977013,67,0.6240347772371887,0.5324819494105588,0.5629066131497517,0.29995906119175486,0.21110918200186193,0,Desktop,Chrome,UK
24,486.4830864270819,32,82.7900210649696,0.5529147410108475,252,90,0.5391557349635319,0.5782785657788938,0.5549969050036436,0.7074670811210383,0.4794434047107395,0.6543297577085936,0.257355197347494,37,0.4913946035288502,0.43668608132410447,0.5704774834484642,0.3619011330063626,0.4530539212186319,0,Desktop,Firefox,UK
20,267.4092805225979,41,0.8205567565767513,0.6480837685350836,19,62,0.4587796505130892,0.687807321947341,0.6181692288424279,0.6875016833231329,0.4821700064564573,0.6242806758369263,0.3252423415870317,27,0.2447088659807629,0.32371323882333747,0.6289234365775946,0.6057926080457018,0.4760784158409643,0,Desktop,Chrome,China
61,383.2865514496643,24,25.286913490243315,0.6016441250481769,124,48,0.43122147129112304,0.3365926505559608,0.5402843390667792,0.5526287314973412,0.6183824832122898,0.5642012004587047,0.4461276303510871,117,0.6016769187774033,0.6704378346062965,0.637363800827924,0.4995180235500795,0.450305107895106,1,Desktop,Chrome,France
23,784.4645550097072,0,103.59987705344064,0.6739203845909439,433,18,0.2597068354615121,0.6190449061713194,0.7606510861240715,0.5439889397147237,0.5279584321099343,0.3390416531037311,0.7243290425167083,13,0.5878984770955377,0.4854532195774672,0.4888754252182416,0.5349529034839525,0.5969814165770543,0,Mobile,Chrome,Brazil
23,1186.6765892980263,13,64.8168988460248,0.6614003488397051,125,34,0.2742327346278859,0.509035108474508,0.7057753673241424,0.4327428482151665,0.6061408461705026,0.4825504431932255,0.5269724446831117,24,0.5624978311233686,0.582136707702707,0.5042046618098438,0.6004322057501752,0.6355058006746974,0,Desktop,Chrome,Germany
21,907.9169469213796,50,65.81668039574393,0.5042634195220502,31,31,0.6312165254007017,0.330213676642094,0.6272166757784345,0.6081724589311733,0.7319430688133187,0.5134659812362709,0.7661882061256892,10,0.42630128124457384,0.7283692899593686,0.3849681748629579,0.3294631611429565,0.4989275351057484,0,Desktop,Chrome,USA
16,701.198046111322,30,112.29814644999941,0.4080574708670916,84,75,0.5882003179438093,0.427422739992591,0.5510684377753042,0.5577705968575685,0.603883897077183,0.1775313761798469,0.4675052466643137,42,0.4479933292603918,0.7109414975175654,0.5823857331684904,0.49571773130024627,0.27401704561201057,0,Mobile,Chrome,UK
34,334.85682609542886,6,133.49734280234975,0.4480165425578326,243,19,0.700182806906066,0.3149048344669236,0.5897633865673498,0.3567770635375971,0.5789883956318574,0.7294425213562644,0.5271767219163223,9,0.5653683272950814,0.5481325888212509,0.49125800154796617,0.25248823992379477,0.294974500940263,0,Desktop,Chrome,UK
1,852.8303513763587,10,23.3273816773293,0.5393930154268498,248,61,0.5748895384280779,0.2687155772163358,0.6012269446245763,0.7520211662584572,0.5384066075863001,0.5079422561205167,0.649760223420688,32,0.7692827213705117,0.5379463229319159,0.4065488755658427,0.5566136353038222,0.49069506630784865,0,Desktop,Edge,UK
8,918.7728292921316,24,46.481273100339386,0.750558804148546,54,57,0.20089909508023865,0.6191945538558202,0.4751610731694004,0.4638781956078769,0.7413479220228539,0.5137081287928192,0.39116007147762166,1,0.7608861673510576,0.6578298745542178,0.2358495625356669,0.6507355935952314,0.7207073119214575,0,Desktop,Chrome,France
32,436.4802797989427,30,290.08987256220223,0.6207924300236641,320,24,0.3227776935299595,0.5354417598465429,0.6668741732731954,0.26378108202599304,0.6845593000332365,0.4214951734672299,0.48090763725400654,25,0.5454339414914323,0.75578220980118,0.4399317306918516,0.6775028681109868,0.3652254595300366,0,Desktop,Safari,Canada
38,727.6801926513548,58,158.00541618201214,0.533755965869752,144,11,0.4948631353024804,0.5264241793606995,0.6030116871084337,0.6822652790257424,0.507055166075729,0.5592410177586052,0.5366640924135258,35,0.5702768949560091,0.34470457374073393,0.6093640366870611,0.4928769663056091,0.4092856604060365,0,Mobile,Chrome,UK
